,items,deal_types,img_links
0,iHealth Products,Up to 40% off,"https://m.media-amazon.com/images/I/41oPbadBuQL._AC_UF226,226_FMjpg_.jpg"
1,TUSHY Bidets,Up to 35% off,"https://m.media-amazon.com/images/I/31p-EQ4dorL._AC_UF226,226_FMjpg_.jpg"
2,Blueland Sustainable Home Essentials,Up to 27% off,"https://m.media-amazon.com/images/I/71-35+c6lBL._AC_UF226,226_FMjpg_.jpg"
3,Bamboo Toilet Paper and Paper Towels from Reel Paper,40% off,"https://m.media-amazon.com/images/I/41i+qx4EHOL._AC_UF226,226_FMjpg_.jpg"
4,Certified Refurbished Ring Alarm Contact Sensors,50% off,"https://m.media-amazon.com/images/I/219BPA1AKkL._AC_UF226,226_FMjpg_.jpg"
5,Amazon Smart Home Devices,Up to 24% off,"https://m.media-amazon.com/images/I/211tlcXvSDL._AC_UF226,226_FMjpg_.jpg"
6,Certified Refurbished eero routers,Up to 37% off,"https://m.media-amazon.com/images/I/21ZxD7z0LqL._AC_UF226,226_FMjpg_.jpg"
7,Spring Fashion from Amazon Essentials,Up to 33% off,"https://m.media-amazon.com/images/I/31-i1BCSc0L._AC_UF226,226_FMjpg_.jpg"
8,GAP Apparel & Accessories for the Entire Family,Up to 67% off,"https://m.media-amazon.com/images/I/31cP00D+QPL._AC_UF226,226_FMjpg_.jpg"
9,"Spend $60, Save $15 on Amazon. Includes Optimum Nutrition, Isopure, SlimFast and more",Deal,"https://m.media-amazon.com/images/I/512MLJSLYiL._AC_UF226,226_FMjpg_.jpg"
10,"PepsiCo: Buy $60, Get $15 Amazon Credit. Includes Selected Energy Drink Brands.",Deal,"https://m.media-amazon.com/images/I/51TKVb5VYPL._AC_UF226,226_FMjpg_.jpg"
11,Prime Card Exclusive: Earn 10% back on Amazon Basics,Deal,"https://m.media-amazon.com/images/I/61uw1NKlZVL._AC_UF226,226_FMjpg_.jpg"
12,ＷＭＷＹＭＸ Bluetooth Headset One Ear Earphone Earpiece for Cell Phones Wireless Headset with Charging Case,Up to 50% off,"https://m.media-amazon.com/images/I/41Uc7GFNcUL._AC_UF226,226_FMjpg_.jpg"
13,"LEGONGSO Car Cleaning Gel, Putty, Kit for Vent, Universal Gel Cleaner Automotive Interior, Dust Mud Putty Dashboard, PC, Laptops, Cameras, 160g-2 (Gel-XN-01)",Up to 17% off,"https://m.media-amazon.com/images/I/41-BW36iU-L._AC_UF226,226_FMjpg_.jpg"
14,"Fast Wireless Charger, 10W Max Wireless Charging Pad for iPhone 13/13 Pro/13 Pro Max/13 Mini/12/SE/11/X/XR/8, Samsung Galaxy, AirPods/AirPods Pro, Huawei Mate 20 Pro/Mate 30/P50 (No AC Adapter)",Up to 70% off,"https://m.media-amazon.com/images/I/41+fLpgHJtL._AC_UF226,226_FMjpg_.jpg"
15,Raised Garden Beds Outdoor 8×4×1 Ft DIY Galvanized Raised Garden Beds for Vegetables 12-in-1 Modular Metal Raised Garden Bed Kit for Gardening Galvanized Raised Garden Bed Kit for Planters,Up to 21% off,"https://m.media-amazon.com/images/I/5183iKnIplL._AC_UF226,226_FMjpg_.jpg"
16,"Wireless Earbuds, Bluetooth 5.2 Headphones with Wireless Charging Case 1200mAh-60Hrs Play Time-Cell Phones Charging Function, Built-in Microphone IPX5 Waterproof Earphone for iOS/Android(Bright Black)",Up to 70% off,"https://m.media-amazon.com/images/I/51ECsF+VUaL._AC_UF226,226_FMjpg_.jpg"
17,"16 Piece Precision Craft Hobby Knife Kit, Utility Art Exacto Knife Sets, Sharp Razor Knives Tool for Carving, Architecture Modeling, Scrapbooking, Sculpture, Wood Working-Stencil, DIY Art Work Cutting",Up to 66% off,"https://m.media-amazon.com/images/I/51Re-TcBHuL._AC_UF226,226_FMjpg_.jpg"
18,Air Fryer Paper Liners Disposable Paper Liners 100PCS for Fryers Basket Frying Pan Microwave Oven,Up to 62% off,"https://m.media-amazon.com/images/I/51krYJ1fJLL._AC_UF226,226_FMjpg_.jpg"
19,"Webcam Cover Slide 6 Pack, 0.027 inch Ultra-Thin Metal Magnet Web Camera Cover for MacBook Pro iMac Laptop PC iPad Pro iPhone Surface Pro Echo Show Camera Blocker Slider, Protect Your Visual Prvacy",Up to 71% off,"https://m.media-amazon.com/images/I/41IwSHQKrpL._AC_UF226,226_FMjpg_.jpg"
20,"Ear Wax Removal,Ear Wax Removal Tool,Ear Camera 1080P FHD with 6 LED Lights for iPhone, iPad & Android",Up to 35% off,"https://m.media-amazon.com/images/I/41WcGNOyBsL._AC_UF226,226_FMjpg_.jpg"
21,Packing Cubes for Travel 7 Pcs Foldable Travel Cubes Set Lightweight Luggage Organizers,Up to 66% off,"https://m.media-amazon.com/images/I/41PC9TiCPkL._AC_UF226,226_FMjpg_.jpg"
22,"Toolmaker's Precision Spring Dividers Calipers Compass 0-6.5"" / 160 mm Range C1-06",15% off,"https://m.media-amazon.com/images/I/51804NnTxSL._AC_UF226,226_FMjpg_.jpg"
23,GPEESTRAC True Wireless Bluetooth Earbuds Hi-Fi Stereo Sound IPX5 Waterproof Built-in Mic Earphones Gift for Work Sport Travel Running,Up to 75% off,"https://m.media-amazon.com/images/I/51yFWkXbt9L._AC_UF226,226_FMjpg_.jpg"
24,"podiality LED Night Light [4 Pack] Smart Light Sensor Suitable for Bedroom, Bathroom, Toilet, Stairs, Kitchen, Hallway(White Light)",Up to 57% off,"https://m.media-amazon.com/images/I/31SlowMa-wL._AC_UF226,226_FMjpg_.jpg"
25,"Milk Frother for Coffee, Handheld Frother Electric Whisk, Milk Foamer, Mini Mixer and Coffee Blender Frother for Latte, Matcha, Cappuccino, Hot Chocolate, Battery Operated Mini Drink Mixer",Up to 70% off,"https://m.media-amazon.com/images/I/41pCxAkdCHL._AC_UF226,226_FMjpg_.jpg"
